|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
2|"10143578|2020-05-17|Masculino|1986-12-16|cachorro|moderado|Cerveja|Praticar esporte"
0|"10141742|2020-12-01|Masculino|1983-06-06|gato|moderado|Cerveja|Aprender algo novo"
1|"10143440|2020-12-01|Feminino|1990-03-03|gato|moderado|Café|Pintar quadros"
0|"10141779|2020-08-26|Feminino|1960-11-19|peixe|moderado|Água|Escrever"
1|"10141874|2020-08-26|Feminino|1979-05-15|peixe|moderado|refrigerante|Assistir TV"
2|"10141935|2020-08-26|Feminino|1970-03-24|gato|moderado|Café|Dormir"
3|"10142301|2020-08-26|Masculino|1989-10-11|cachorro|moderado|Vinho|Assistir TV"
4|"10143097|2020-08-26|Masculino|1960-06-28|tartaruga|frio|Café|Pintar quadros"
5|"10143098|2020-08-26|Masculino|1968-05-03|gato|moderado|Água|Escutar música"
6|"10143320|2020-08-26|Masculino|1961-09-17|tartaruga|quente|Café|Praticar esporte"
7|"10143450|2020-08-26|Feminino|1976-07-23|gato|quente|Água|Assistir TV"
0|"10141812|2020-10-04|Masculino|1963-03-22|peixe|moderado|Água|Aprender algo novo"
1|"10142836|2020-10-04|Masculino|1988-10-24|tartaruga|frio|Vinho|Ler livros"
2|"10142906|2020-10-04|Masculino|1996-12-23|cachorro|moderado|Chá|Assistir TV"
3|"10143129|2020-10-04|Feminino|1988-04-19|gato|moderado|Água|Escutar música"
0|"10142421|2020-08-02|Masculino|1976-09-05|peixe|moderado|refrigerante|Aprender algo novo"
1|"10142871|2020-08-02|Masculino|1980-08-01|cachorro|moderado|Cerveja|Dormir"
2|"10143002|2020-08-02|Masculino|1964-08-27|gato|moderado|Vinho|Escutar música"
3|"10143095|2020-08-02|Masculino|1978-02-06|cachorro|frio|Chá|Praticar esporte"
4|"10143237|2020-08-02|Masculino|1955-12-15|gato|quente|Chá|Pintar quadros"
0|"10141662|2020-09-04|Masculino|1996-06-14|peixe|frio|Cerveja|Dormir"
1|"10141834|2020-09-04|Feminino|1980-03-29|peixe|quente|Chá|Escutar música"
2|"10141965|2020-09-04|Feminino|1984-06-21|cachorro|frio|Cerveja|Pintar quadros"
3|"10142377|2020-09-04|Masculino|1990-07-04|peixe|frio|Café|Escrever"
4|"10142458|2020-09-04|Masculino|1954-03-28|peixe|frio|Cerveja|Dormir"
5|"10142991|2020-09-04|Masculino|1974-02-27|cachorro|quente|Vinho|Dormir"
6|"10143251|2020-09-04|Masculino|1992-07-07|gato|moderado|Café|Aprender algo novo"
0|"10143025|2020-02-26|Masculino|1963-07-23|cachorro|quente|Água|Ler livros"
1|"10143301|2020-02-26|Feminino|1977-12-21|peixe|moderado|Cerveja|Pintar quadros"
0|"10141775|2020-09-14|Feminino|1984-02-14|tartaruga|moderado|Chá|Escrever"
1|"10141789|2020-09-14|Feminino|1982-11-15|gato|frio|Café|Escrever"
2|"10141984|2020-09-14|Masculino|1963-09-16|gato|moderado|refrigerante|Assistir TV"
3|"10142195|2020-09-14|Masculino|1958-01-26|cachorro|moderado|Chá|Ler livros"
4|"10143089|2020-09-14|Masculino|1981-11-19|gato|frio|Cerveja|Praticar esporte"
0|"10141511|2020-08-17|Masculino|1995-12-19|gato|quente|Café|Assistir TV"
1|"10142034|2020-08-17|Feminino|1968-11-14|cachorro|moderado|Vinho|Dormir"
2|"10142909|2020-08-17|Masculino|1977-08-22|gato|frio|Vinho|Aprender algo novo"
0|"10142731|2020-03-07|Masculino|1972-10-24|cachorro|frio|Chá|Praticar esporte"
1|"10142748|2020-03-07|Masculino|1951-09-02|tartaruga|frio|Chá|Assistir TV"
2|"10143167|2020-03-07|Feminino|1996-07-30|gato|quente|Café|Aprender algo novo"
3|"10143331|2020-03-07|Masculino|1976-07-09|cachorro|quente|refrigerante|Escrever"
0|"10141551|2020-11-11|Feminino|1957-05-05|cachorro|frio|Água|Assistir TV"
1|"10141629|2020-11-11|Feminino|1967-01-18|cachorro|frio|Chá|Escutar música"
2|"10141707|2020-11-11|Feminino|1968-06-21|peixe|quente|Água|Dormir"
3|"10142132|2020-11-11|Feminino|1981-09-09|gato|frio|refrigerante|Assistir TV"
4|"10142307|2020-11-11|Masculino|1954-12-06|gato|moderado|Café|Pintar quadros"
5|"10142612|2020-11-11|Feminino|1952-05-11|peixe|frio|Chá|Ler livros"
6|"10143109|2020-11-11|Masculino|1993-06-10|gato|moderado|Chá|Escutar música"
7|"10143143|2020-11-11|Feminino|1952-01-15|tartaruga|quente|refrigerante|Escrever"
8|"10143262|2020-11-11|Masculino|1966-04-05|gato|frio|Cerveja|Escutar música"
0|"10142842|2020-10-06|Masculino|1993-06-01|peixe|moderado|Cerveja|Assistir TV"
1|"10143128|2020-10-06|Masculino|1970-02-24|gato|frio|refrigerante|Dormir"
2|"10143611|2020-10-06|Masculino|1994-03-30|peixe|frio|Vinho|Assistir TV"
0|"10142051|2020-01-28|Feminino|1973-09-24|cachorro|quente|Chá|Ler livros"
1|"10142540|2020-01-28|Masculino|1980-06-12|gato|frio|Cerveja|Praticar esporte"
2|"10143157|2020-01-28|Masculino|1951-03-02|cachorro|frio|refrigerante|Assistir TV"
3|"10143276|2020-01-28|Feminino|1969-09-06|peixe|frio|Chá|Aprender algo novo"
0|"10141543|2020-07-07|Masculino|1977-10-07|peixe|frio|Café|Praticar esporte"
1|"10141591|2020-07-07|Feminino|1970-10-13|cachorro|quente|Cerveja|Ler livros"
2|"10141873|2020-07-07|Feminino|1956-10-10|tartaruga|frio|Café|Aprender algo novo"
3|"10142141|2020-07-07|Masculino|1958-07-12|peixe|frio|Chá|Praticar esporte"
4|"10142626|2020-07-07|Feminino|1957-11-11|gato|quente|refrigerante|Ler livros"
5|"10142979|2020-07-07|Masculino|1952-03-25|gato|quente|Café|Dormir"
0|"10141768|2020-12-12|Feminino|1979-05-18|gato|frio|Cerveja|Ler livros"
1|"10141898|2020-12-12|Masculino|1974-04-03|cachorro|frio|Café|Assistir TV"
2|"10142265|2020-12-12|Masculino|1994-02-11|gato|quente|Água|Aprender algo novo"
3|"10142759|2020-12-12|Masculino|1971-08-31|tartaruga|quente|Café|Aprender algo novo"
4|"10142928|2020-12-12|Masculino|1986-09-13|gato|frio|Vinho|Ler livros"
5|"10142989|2020-12-12|Masculino|1977-05-05|gato|frio|Água|Escutar música"
6|"10143181|2020-12-12|Masculino|1997-08-17|tartaruga|quente|Vinho|Pintar quadros"
7|"10143241|2020-12-12|Masculino|1952-08-24|tartaruga|frio|Cerveja|Aprender algo novo"
0|"10142057|2020-06-19|Masculino|1989-05-11|peixe|frio|Água|Praticar esporte"
1|"10142101|2020-06-19|Feminino|1955-07-17|tartaruga|quente|Café|Pintar quadros"
2|"10142629|2020-06-19|Feminino|1953-08-25|cachorro|quente|Chá|Dormir"
3|"10142849|2020-06-19|Masculino|1951-03-09|cachorro|quente|refrigerante|Dormir"
4|"10142973|2020-06-19|Masculino|1960-01-02|tartaruga|frio|Café|Ler livros"
5|"10143111|2020-06-19|Masculino|1959-05-22|gato|frio|refrigerante|Praticar esporte"
6|"10143614|2020-06-19|Feminino|1972-05-24|cachorro|quente|Cerveja|Dormir"
0|"10142463|2020-12-16|Masculino|1989-05-17|peixe|frio|Cerveja|Praticar esporte"
1|"10143145|2020-12-16|Masculino|1964-07-16|tartaruga|moderado|Água|Escrever"
2|"10143246|2020-12-16|Masculino|1978-03-14|gato|quente|Cerveja|Pintar quadros"
0|"10142023|2020-01-27|Feminino|1995-09-19|gato|moderado|Água|Aprender algo novo"
1|"10142061|2020-01-27|Masculino|1953-07-22|gato|moderado|Chá|Escutar música"
2|"10142545|2020-01-27|Masculino|1960-12-27|cachorro|quente|Água|Escutar música"
3|"10143092|2020-01-27|Masculino|1970-07-15|peixe|moderado|refrigerante|Escutar música"
0|"10141505|2020-07-27|Masculino|1958-10-04|cachorro|quente|refrigerante|Escutar música"
1|"10141640|2020-07-27|Feminino|1970-01-12|gato|moderado|Café|Aprender algo novo"
2|"10142580|2020-07-27|Masculino|1994-04-22|cachorro|moderado|Café|Escrever"
3|"10142603|2020-07-27|Feminino|1998-06-10|gato|quente|Cerveja|Escutar música"
4|"10142915|2020-07-27|Masculino|1986-10-07|cachorro|quente|refrigerante|Praticar esporte"
0|"10141923|2020-06-20|Feminino|1978-03-26|peixe|frio|Água|Escutar música"
1|"10142292|2020-06-20|Masculino|1979-01-18|cachorro|frio|Vinho|Aprender algo novo"
2|"10142616|2020-06-20|Masculino|1994-03-22|gato|moderado|Café|Ler livros"
3|"10142705|2020-06-20|Masculino|1989-12-09|cachorro|frio|Vinho|Dormir"
4|"10142796|2020-06-20|Masculino|1976-09-17|gato|quente|Chá|Escrever"
0|"10142289|2020-05-04|Masculino|1990-02-17|gato|quente|Cerveja|Dormir"
1|"10142373|2020-05-04|Masculino|1983-04-22|cachorro|quente|Chá|Assistir TV"
2|"10142673|2020-05-04|Masculino|1999-12-17|peixe|quente|Cerveja|Escrever"
3|"10143300|2020-05-04|Feminino|1994-02-13|tartaruga|quente|Vinho|Escrever"
0|"10141861|2020-01-09|Feminino|1957-03-27|peixe|moderado|refrigerante|Ler livros"
1|"10142291|2020-01-09|Masculino|1998-06-14|peixe|frio|refrigerante|Pintar quadros"
2|"10142360|2020-01-09|Masculino|1974-03-11|gato|frio|Chá|Assistir TV"
3|"10142498|2020-01-09|Masculino|1974-04-12|tartaruga|quente|Vinho|Praticar esporte"
4|"10142687|2020-01-09|Masculino|1954-08-23|peixe|frio|Café|Aprender algo novo"
5|"10142984|2020-01-09|Masculino|1958-11-24|peixe|frio|Vinho|Assistir TV"
6|"10143351|2020-01-09|Masculino|1959-06-15|gato|moderado|Café|Aprender algo novo"
7|"10143396|2020-01-09|Masculino|1973-03-25|peixe|frio|Café|Assistir TV"
8|"10143608|2020-01-09|Feminino|1953-12-29|gato|frio|Café|Ler livros"
0|"10141744|2020-04-03|Masculino|1974-08-23|gato|moderado|Café|Assistir TV"
1|"10141827|2020-04-03|Feminino|1959-07-17|gato|frio|Vinho|Escrever"
2|"10142012|2020-04-03|Feminino|1973-09-22|gato|quente|Cerveja|Escrever"
3|"10142777|2020-04-03|Masculino|1992-08-25|gato|frio|Café|Dormir"
4|"10142844|2020-04-03|Masculino|1975-03-21|peixe|moderado|Cerveja|Praticar esporte"
0|"10141515|2020-04-10|Feminino|1988-10-19|cachorro|moderado|Água|Dormir"
1|"10142323|2020-04-10|Masculino|1980-06-26|gato|quente|Cerveja|Escrever"
2|"10142405|2020-04-10|Masculino|1982-07-30|cachorro|quente|Cerveja|Praticar esporte"
3|"10143136|2020-04-10|Feminino|1969-01-14|gato|frio|refrigerante|Pintar quadros"
0|"10141550|2020-02-25|Feminino|1966-06-25|gato|frio|Chá|Escutar música"
1|"10141751|2020-02-25|Feminino|1955-06-05|gato|quente|Vinho|Assistir TV"
2|"10141913|2020-02-25|Feminino|1996-02-07|gato|moderado|Vinho|Pintar quadros"
3|"10142780|2020-02-25|Masculino|1985-02-16|cachorro|moderado|Vinho|Escutar música"
4|"10142848|2020-02-25|Masculino|1957-02-02|gato|moderado|Cerveja|Ler livros"
5|"10142874|2020-02-25|Masculino|1977-07-12|gato|moderado|Café|Ler livros"
6|"10142958|2020-02-25|Masculino|1983-06-07|cachorro|frio|Chá|Praticar esporte"
7|"10143176|2020-02-25|Masculino|1991-09-14|cachorro|frio|Cerveja|Dormir"
8|"10143347|2020-02-25|Masculino|1974-12-09|cachorro|moderado|Café|Assistir TV"
0|"10141728|2020-09-11|Feminino|1990-08-16|gato|moderado|Café|Praticar esporte"
1|"10142960|2020-09-11|Masculino|1962-09-04|cachorro|frio|refrigerante|Assistir TV"
2|"10143039|2020-09-11|Masculino|1988-09-21|peixe|frio|Café|Escutar música"
0|"10141568|2020-10-14|Feminino|1997-08-16|cachorro|frio|refrigerante|Assistir TV"
1|"10141686|2020-10-14|Feminino|1986-09-24|peixe|frio|Chá|Praticar esporte"
2|"10141791|2020-10-14|Feminino|1964-01-13|gato|moderado|Vinho|Assistir TV"
3|"10142074|2020-10-14|Masculino|1976-12-26|tartaruga|moderado|Água|Assistir TV"
4|"10142665|2020-10-14|Masculino|1960-12-18|peixe|frio|Cerveja|Dormir"
5|"10143049|2020-10-14|Masculino|1989-08-26|peixe|frio|Café|Assistir TV"
6|"10143178|2020-10-14|Masculino|1988-09-18|gato|frio|Chá|Escrever"
0|"10141950|2020-10-05|Feminino|1956-05-20|gato|moderado|Chá|Aprender algo novo"
1|"10142385|2020-10-05|Masculino|1968-08-18|cachorro|frio|Água|Assistir TV"
2|"10142868|2020-10-05|Masculino|1972-01-25|peixe|frio|Vinho|Ler livros"
3|"10142908|2020-10-05|Masculino|1999-11-05|gato|frio|Vinho|Dormir"
0|"10141704|2020-03-23|Feminino|1975-04-28|gato|frio|Cerveja|Dormir"
1|"10142015|2020-03-23|Masculino|1966-05-18|gato|frio|Café|Escrever"
2|"10142033|2020-03-23|Feminino|1986-08-04|peixe|moderado|Vinho|Escrever"
3|"10143051|2020-03-23|Masculino|1987-10-22|cachorro|frio|Chá|Aprender algo novo"
4|"10143194|2020-03-23|Masculino|1992-09-16|gato|frio|Água|Escrever"
5|"10143210|2020-03-23|Masculino|1989-01-06|gato|moderado|Vinho|Ler livros"
6|"10143282|2020-03-23|Masculino|1989-09-06|peixe|frio|Vinho|Escrever"
7|"10143438|2020-03-23|Feminino|1956-10-27|gato|quente|Cerveja|Pintar quadros"
0|"10142636|2020-06-11|Feminino|1968-10-12|cachorro|frio|Água|Escutar música"
1|"10142804|2020-06-11|Masculino|1977-11-26|gato|quente|Água|Escrever"
2|"10143008|2020-06-11|Masculino|1973-10-14|cachorro|moderado|Cerveja|Praticar esporte"
3|"10143265|2020-06-11|Masculino|1978-08-06|tartaruga|frio|Vinho|Dormir"
0|"10141506|2020-10-19|Masculino|1982-12-19|cachorro|frio|Vinho|Praticar esporte"
1|"10142387|2020-10-19|Masculino|1996-07-12|peixe|frio|refrigerante|Praticar esporte"
2|"10142390|2020-10-19|Masculino|1998-03-22|gato|quente|Água|Praticar esporte"
3|"10142487|2020-10-19|Masculino|1996-06-28|peixe|moderado|Vinho|Escrever"
4|"10143235|2020-10-19|Masculino|1975-03-20|gato|quente|refrigerante|Escutar música"
5|"10143303|2020-10-19|Masculino|1956-06-16|gato|moderado|Café|Assistir TV"
6|"10143417|2020-10-19|Masculino|1976-11-25|peixe|quente|Chá|Ler livros"
7|"10143604|2020-10-19|Masculino|1962-02-13|peixe|moderado|Água|Ler livros"
0|"10141538|2020-12-29|Feminino|1950-07-19|cachorro|quente|Café|Aprender algo novo"
1|"10141656|2020-12-29|Feminino|1981-12-27|peixe|moderado|Água|Praticar esporte"
2|"10141778|2020-12-29|Masculino|1967-11-14|tartaruga|quente|Cerveja|Dormir"
3|"10142003|2020-12-29|Feminino|1987-05-04|cachorro|quente|Cerveja|Escutar música"
4|"10142040|2020-12-29|Feminino|1978-09-11|peixe|moderado|Água|Ler livros"
5|"10142621|2020-12-29|Feminino|1981-11-18|cachorro|moderado|Vinho|Ler livros"
6|"10142663|2020-12-29|Masculino|1960-09-29|gato|quente|Chá|Aprender algo novo"
0|"10141508|2020-08-09|Masculino|1957-09-23|peixe|moderado|Chá|Assistir TV"
1|"10141817|2020-08-09|Feminino|1956-01-01|tartaruga|frio|Café|Escutar música"
2|"10142030|2020-08-09|Feminino|1997-11-29|gato|frio|Água|Escrever"
3|"10142178|2020-08-09|Masculino|1997-03-09|cachorro|frio|Água|Escutar música"
4|"10143005|2020-08-09|Masculino|1974-08-17|tartaruga|quente|Água|Ler livros"
5|"10143564|2020-08-09|Feminino|1996-04-20|gato|frio|Cerveja|Escrever"
0|"10141676|2020-07-14|Masculino|1962-06-25|tartaruga|quente|Água|Pintar quadros"
1|"10141697|2020-07-14|Feminino|1995-01-08|gato|frio|refrigerante|Dormir"
2|"10141729|2020-07-14|Feminino|1957-02-20|cachorro|moderado|refrigerante|Praticar esporte"
3|"10142567|2020-07-14|Masculino|1972-01-24|peixe|frio|Cerveja|Ler livros"
4|"10142720|2020-07-14|Masculino|1965-09-25|gato|moderado|refrigerante|Aprender algo novo"
5|"10142826|2020-07-14|Masculino|1990-12-27|cachorro|quente|Vinho|Assistir TV"
6|"10143445|2020-07-14|Feminino|1972-10-21|peixe|quente|Chá|Aprender algo novo"
7|"10143565|2020-07-14|Feminino|1963-04-18|tartaruga|moderado|Cerveja|Pintar quadros"
0|"10141832|2020-11-19|Feminino|1954-01-24|tartaruga|quente|Cerveja|Ler livros"
1|"10141870|2020-11-19|Feminino|1950-11-05|cachorro|frio|refrigerante|Praticar esporte"
2|"10141908|2020-11-19|Feminino|1982-10-14|gato|frio|Café|Aprender algo novo"
3|"10142379|2020-11-19|Masculino|1978-02-27|tartaruga|frio|Água|Pintar quadros"
4|"10142877|2020-11-19|Masculino|1997-05-21|gato|frio|Água|Escrever"
5|"10143149|2020-11-19|Feminino|1984-12-17|tartaruga|quente|Água|Escrever"
6|"10143582|2020-11-19|Masculino|1974-05-01|cachorro|frio|refrigerante|Escutar música"
0|"10141526|2020-02-23|Feminino|1994-07-01|gato|quente|Chá|Ler livros"
1|"10141605|2020-02-23|Feminino|1981-01-27|cachorro|moderado|Café|Pintar quadros"
2|"10141609|2020-02-23|Masculino|1976-10-12|gato|moderado|Cerveja|Escrever"
3|"10142249|2020-02-23|Masculino|1992-04-24|tartaruga|frio|Vinho|Aprender algo novo"
4|"10142282|2020-02-23|Masculino|1962-04-22|gato|moderado|Cerveja|Assistir TV"
5|"10142602|2020-02-23|Masculino|1976-05-22|gato|frio|Água|Pintar quadros"
6|"10143026|2020-02-23|Masculino|1988-07-14|cachorro|frio|Chá|Assistir TV"
7|"10143292|2020-02-23|Masculino|1982-06-15|gato|quente|Vinho|Assistir TV"
0|"10141684|2020-08-20|Masculino|1980-01-20|tartaruga|quente|Chá|Escrever"
1|"10143053|2020-08-20|Masculino|1966-07-02|cachorro|moderado|Cerveja|Escrever"
0|"10141877|2020-01-05|Feminino|1963-05-24|tartaruga|moderado|refrigerante|Pintar quadros"
1|"10142310|2020-01-05|Masculino|1978-08-22|peixe|quente|Cerveja|Aprender algo novo"
2|"10142471|2020-01-05|Masculino|1979-02-23|cachorro|frio|Chá|Aprender algo novo"
3|"10142597|2020-01-05|Masculino|1981-07-18|gato|frio|Chá|Ler livros"
4|"10143070|2020-01-05|Masculino|1989-09-24|cachorro|frio|Chá|Ler livros"
5|"10143526|2020-01-05|Feminino|1964-05-10|cachorro|frio|Vinho|Aprender algo novo"
0|"10141869|2020-03-20|Feminino|1991-07-10|gato|quente|Vinho|Assistir TV"
1|"10141959|2020-03-20|Feminino|1983-03-08|gato|quente|refrigerante|Praticar esporte"
2|"10141967|2020-03-20|Feminino|1967-06-09|peixe|frio|Vinho|Escutar música"
3|"10142136|2020-03-20|Masculino|1962-08-29|gato|moderado|Cerveja|Ler livros"
4|"10142504|2020-03-20|Masculino|1993-10-31|gato|moderado|Café|Escrever"
0|"10141632|2020-11-18|Feminino|1960-01-30|gato|quente|Cerveja|Escutar música"
1|"10141688|2020-11-18|Feminino|1961-06-14|tartaruga|quente|Chá|Ler livros"
2|"10141727|2020-11-18|Feminino|1975-12-26|tartaruga|moderado|refrigerante|Pintar quadros"
3|"10141982|2020-11-18|Masculino|1994-07-16|gato|moderado|Água|Ler livros"
4|"10142078|2020-11-18|Feminino|1991-08-21|gato|quente|Café|Dormir"
5|"10142579|2020-11-18|Masculino|1994-07-23|gato|quente|Chá|Ler livros"
6|"10142829|2020-11-18|Masculino|1979-12-25|cachorro|moderado|Cerveja|Pintar quadros"
0|"10141631|2020-04-04|Feminino|1960-11-13|gato|moderado|refrigerante|Dormir"
1|"10142090|2020-04-04|Masculino|1997-09-05|tartaruga|frio|Chá|Pintar quadros"
2|"10142549|2020-04-04|Masculino|1951-11-08|gato|moderado|Cerveja|Pintar quadros"
3|"10142667|2020-04-04|Masculino|1965-12-31|cachorro|frio|Água|Escrever"
4|"10142704|2020-04-04|Masculino|1991-05-22|gato|quente|Chá|Assistir TV"
5|"10142738|2020-04-04|Masculino|1967-01-14|tartaruga|moderado|Vinho|Escutar música"
6|"10142933|2020-04-04|Masculino|1962-03-27|tartaruga|frio|Café|Pintar quadros"
7|"10143010|2020-04-04|Masculino|1988-05-19|peixe|frio|Café|Praticar esporte"
8|"10143088|2020-04-04|Masculino|1976-12-14|gato|moderado|refrigerante|Dormir"
9|"10143189|2020-04-04|Masculino|1986-05-23|cachorro|quente|Chá|Dormir"
10|"10143455|2020-04-04|Feminino|1956-10-10|peixe|moderado|Café|Escrever"
0|"10141644|2020-02-05|Masculino|1977-06-04|gato|moderado|Cerveja|Escutar música"
1|"10141705|2020-02-05|Feminino|1984-11-09|gato|moderado|refrigerante|Escrever"
2|"10141966|2020-02-05|Feminino|1969-02-27|gato|moderado|Água|Dormir"
3|"10142260|2020-02-05|Masculino|1985-08-01|gato|moderado|Café|Pintar quadros"
4|"10142336|2020-02-05|Masculino|1987-07-24|gato|frio|Vinho|Praticar esporte"
5|"10142610|2020-02-05|Feminino|1969-08-26|cachorro|moderado|refrigerante|Assistir TV"
6|"10143294|2020-02-05|Masculino|1989-12-15|gato|quente|Água|Escrever"
0|"10141527|2020-07-11|Masculino|1988-12-05|peixe|moderado|Água|Ler livros"
1|"10142256|2020-07-11|Masculino|1964-03-23|gato|moderado|Água|Escrever"
2|"10142817|2020-07-11|Masculino|1967-07-19|gato|quente|refrigerante|Escrever"
3|"10143268|2020-07-11|Masculino|1966-03-17|gato|moderado|Café|Escutar música"
0|"10142087|2020-11-13|Masculino|1950-07-24|gato|moderado|Cerveja|Ler livros"
1|"10142095|2020-11-13|Masculino|1951-07-25|cachorro|frio|Cerveja|Dormir"
2|"10142901|2020-11-13|Masculino|1990-07-07|gato|quente|Vinho|Escrever"
3|"10143211|2020-11-13|Masculino|1996-04-26|tartaruga|frio|Café|Aprender algo novo"
0|"10142627|2020-05-28|Masculino|1979-07-24|peixe|quente|Vinho|Assistir TV"
1|"10142975|2020-05-28|Masculino|1981-11-10|gato|frio|Café|Aprender algo novo"
2|"10143014|2020-05-28|Masculino|1986-09-05|gato|frio|Café|Escrever"
3|"10143050|2020-05-28|Masculino|1955-11-11|gato|frio|Vinho|Escutar música"
4|"10143462|2020-05-28|Masculino|1970-08-31|peixe|quente|Chá|Escutar música"
0|"10141993|2020-11-21|Feminino|1990-06-23|peixe|frio|Chá|Escrever"
1|"10142586|2020-11-21|Masculino|1989-07-13|cachorro|moderado|Vinho|Assistir TV"
2|"10142681|2020-11-21|Masculino|1978-05-09|peixe|quente|Cerveja|Aprender algo novo"
3|"10142787|2020-11-21|Masculino|1986-10-17|tartaruga|frio|Café|Aprender algo novo"
4|"10143309|2020-11-21|Masculino|1961-12-13|peixe|frio|Cerveja|Ler livros"
0|"10141504|2020-01-12|Masculino|1979-09-09|gato|moderado|Cerveja|Escrever"
1|"10141607|2020-01-12|Feminino|1962-10-24|tartaruga|quente|refrigerante|Escrever"
2|"10141999|2020-01-12|Feminino|1955-09-14|peixe|quente|Água|Escutar música"
3|"10142201|2020-01-12|Masculino|1959-07-23|cachorro|quente|Água|Ler livros"
4|"10142266|2020-01-12|Feminino|1952-03-13|tartaruga|quente|refrigerante|Assistir TV"
5|"10142925|2020-01-12|Masculino|1977-02-24|cachorro|quente|Cerveja|Assistir TV"
6|"10143169|2020-01-12|Feminino|1996-08-10|peixe|frio|Cerveja|Ler livros"
0|"10141520|2020-01-19|Masculino|1984-10-08|tartaruga|quente|refrigerante|Praticar esporte"
1|"10141747|2020-01-19|Masculino|1983-09-30|peixe|frio|Chá|Escutar música"
2|"10142084|2020-01-19|Masculino|1953-06-25|gato|moderado|Vinho|Pintar quadros"
3|"10142120|2020-01-19|Feminino|1976-05-05|peixe|moderado|Chá|Escutar música"
4|"10142175|2020-01-19|Masculino|1999-04-28|gato|moderado|Vinho|Dormir"
5|"10142816|2020-01-19|Masculino|1979-09-08|cachorro|quente|Vinho|Pintar quadros"
6|"10143073|2020-01-19|Masculino|1986-01-03|tartaruga|moderado|Café|Escutar música"
7|"10143079|2020-01-19|Masculino|1974-12-29|gato|moderado|Vinho|Escrever"
0|"10141807|2020-05-06|Feminino|1968-01-06|gato|moderado|Vinho|Aprender algo novo"
1|"10141808|2020-05-06|Feminino|1964-08-20|cachorro|frio|Cerveja|Escutar música"
2|"10141932|2020-05-06|Feminino|1959-05-30|cachorro|frio|Água|Praticar esporte"
3|"10142312|2020-05-06|Masculino|1952-04-19|gato|quente|Chá|Praticar esporte"
4|"10142322|2020-05-06|Masculino|1982-05-30|gato|frio|Cerveja|Ler livros"
5|"10142535|2020-05-06|Masculino|1995-11-05|gato|moderado|Cerveja|Ler livros"
6|"10142710|2020-05-06|Masculino|1968-06-26|tartaruga|frio|Água|Praticar esporte"
7|"10142883|2020-05-06|Masculino|1955-04-20|gato|moderado|Cerveja|Ler livros"
8|"10143193|2020-05-06|Masculino|1982-01-04|tartaruga|frio|refrigerante|Dormir"
9|"10143315|2020-05-06|Feminino|1966-10-12|tartaruga|frio|Chá|Pintar quadros"
10|"10143377|2020-05-06|Masculino|1995-07-29|cachorro|frio|Café|Pintar quadros"
